Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-03-18	5361.4	5260.7	5373.1	5020.9	1800000.0	1.91	5230.257142857144	7452.952380952381	6462.644518200768	352.2000000000007	100.69999999999982
2020-03-19	6172.0	5359.2	6379.5	5256.0	2180000.0	15.12	5422.542857142857	7326.923809523809	6423.891915773999	1123.5	812.8000000000002
2020-03-20	6205.3	6171.6	6858.1	5748.2	2220000.0	0.54	5511.257142857144	7208.24761904762	6394.746327004133	1109.9000000000005	33.69999999999982
2020-03-21	6186.2	6205.6	6438.3	5887.0	1640000.0	-0.31	5654.614285714286	7095.985714285714	6366.940150070248	551.3000000000002	-19.400000000000546
2020-03-22	5822.1	6186.9	6394.4	5771.2	1480000.0	-5.89	5719.728571428571	6966.561904761904	6294.294796727549	623.1999999999998	-364.7999999999993
2020-03-23	6468.9	5822.0	6564.7	5710.8	1880000.0	11.11	5925.285714285715	6850.566666666667	6317.575490497209	853.8999999999996	646.8999999999996
2020-03-24	6744.6	6468.8	6814.2	6380.8	1730000.0	4.26	6137.214285714285	6754.528571428572	6374.512091764248	433.39999999999964	275.8000000000002
2020-03-25	6678.9	6744.8	6930.2	6474.6	1520000.0	-0.97	6325.428571428572	6655.52857142857	6415.0971461956815	455.59999999999945	-65.90000000000055
2020-03-26	6725.1	6677.9	6772.9	6541.7	1180000.0	0.69	6404.442857142857	6544.328571428571	6456.430860036257	231.19999999999982	47.20000000000073
2020-03-27	6373.4	6725.5	6813.7	6322.3	1160000.0	-5.23	6428.457142857143	6412.833333333333	6445.36007869809	491.39999999999964	-352.10000000000036
2020-03-28	6233.7	6373.4	6374.3	6046.5	1260000.0	-2.19	6435.242857142856	6286.447619047619	6417.138734871678	327.8000000000002	-139.69999999999982
2020-03-29	5890.4	6233.2	6258.8	5889.3	916170.0	-5.51	6445.0	6184.366666666667	6346.906903555455	369.5	-342.8000000000002
2020-03-30	6391.0	5890.4	6576.5	5872.5	1430000.0	8.5	6433.871428571429	6110.938095238095	6352.785983081394	704.0	500.60000000000036
2020-03-31	6412.5	6391.1	6513.1	6346.3	1050000.0	0.34	6386.428571428572	6040.523809523809	6360.747852003875	166.80000000000018	21.399999999999636
2020-04-01	6638.5	6412.4	6661.3	6157.4	1400000.0	3.52	6380.657142857142	5978.780952380952	6397.781471736692	503.90000000000055	226.10000000000036
2020-04-02	6800.5	6638.8	7182.7	6567.9	1740000.0	2.44	6391.428571428572	6072.804761904762	6451.477275505134	614.8000000000002	161.69999999999982
2020-04-03	6735.9	6799.9	7026.3	6623.6	1350000.0	-0.95	6443.214285714285	6127.642857142857	6489.400305437783	402.6999999999998	-64.0
2020-04-04	6857.4	6735.9	6958.6	6679.1	1050000.0	1.8	6532.314285714287	6207.390476190476	6538.466931379412	279.5	121.5
2020-04-05	6772.7	6857.5	6889.4	6686.0	842330.0	-1.23	6658.357142857143	6274.361904761905	6569.69800719549	203.39999999999964	-84.80000000000018
2020-04-06	7332.3	6772.8	7335.0	6770.1	1530000.0	8.26	6792.828571428572	6383.995238095238	6671.378272902759	564.8999999999996	559.5
2020-04-07	7185.2	7332.3	7440.3	7101.7	1320000.0	-2.01	6903.214285714285	6475.619047619048	6739.887836515724	338.60000000000036	-147.10000000000036
2020-04-08	7361.2	7185.6	7396.1	7153.1	983940.0	2.45	7006.457142857143	6570.8476190476185	6822.729458313628	243.0	175.59999999999945
2020-04-09	7289.0	7361.1	7361.1	7140.3	963550.0	-0.98	7076.242857142856	6624.038095238095	6884.898863871811	220.80000000000018	-72.10000000000036
2020-04-10	6863.1	7289.0	7294.4	6756.1	1370000.0	-5.84	7094.414285714286	6655.361904761905	6881.992348688903	538.2999999999993	-425.89999999999964
2020-04-11	6867.8	6862.7	6931.4	6765.1	845580.0	0.07	7095.9	6687.819047619047	6880.100035530383	166.29999999999927	5.100000000000364
2020-04-12	6917.6	6867.9	7158.8	6785.1	1100000.0	0.73	7116.599999999999	6739.985714285714	6885.100030792999	373.6999999999998	49.70000000000073
2020-04-13	6841.3	6918.1	6920.3	6618.5	1250000.0	-1.1	7046.457142857143	6757.719047619048	6879.260026687266	301.8000000000002	-76.80000000000018
2020-04-14	6850.9	6841.8	6970.8	6768.6	999530.0	0.14	6998.7	6762.780952380952	6875.478689795631	202.19999999999982	9.099999999999454
2020-04-15	6629.1	6851.3	6929.5	6615.9	1000000.0	-3.24	6894.114285714286	6760.409523809524	6842.628197822881	313.60000000000036	-222.19999999999982
2020-04-16	7085.6	6629.1	7159.7	6520.5	1540000.0	6.89	6865.057142857143	6777.576190476189	6875.024438113163	639.1999999999998	456.5
2020-04-17	7035.8	7085.5	7142.8	7005.8	810100.0	-0.7	6889.728571428571	6809.119047619048	6896.461179698075	137.0	-49.69999999999982
2020-04-18	7230.8	7035.9	7259.4	7031.5	796450.0	2.77	6941.585714285715	6856.6	6941.039689071666	227.89999999999964	194.90000000000055
